city,date,temp,humidity,description
New York,2025-07-14T13:00:00,79.29,74,moderate rain
New York,2025-07-15T13:00:00,89.65,50,light rain
New York,2025-07-16T13:00:00,89.76,53,moderate rain
New York,2025-07-17T13:00:00,88.09,54,light rain
New York,2025-07-11T13:00:00,85.21,69,light rain
New York,2025-07-12T13:00:00,84.09,54,scattered clouds
New York,2025-07-13T13:00:00,81.81,62,scattered clouds
New York,2025-07-14T13:00:00,79.29,74,moderate rain
New York,2025-07-15T13:00:00,89.65,50,light rain
New York,2025-07-16T13:00:00,89.76,53,moderate rain
New York,2025-07-17T13:00:00,88.09,54,light rain
new york,2025-07-11T13:00:00,85.21,69,light rain
new york,2025-07-12T13:00:00,84.09,54,scattered clouds
new york,2025-07-13T13:00:00,81.81,62,scattered clouds
new york,2025-07-14T13:00:00,79.29,74,moderate rain
new york,2025-07-15T13:00:00,89.65,50,light rain
new york,2025-07-16T13:00:00,89.76,53,moderate rain
new york,2025-07-17T13:00:00,88.09,54,light rain
new york,2025-07-11T13:00:00,85.21,69,light rain
new york,2025-07-12T13:00:00,84.09,54,scattered clouds
new york,2025-07-13T13:00:00,81.81,62,scattered clouds
new york,2025-07-14T13:00:00,79.29,74,moderate rain
new york,2025-07-15T13:00:00,89.65,50,light rain
new york,2025-07-16T13:00:00,89.76,53,moderate rain
new york,2025-07-17T13:00:00,88.09,54,light rain
miami,2025-07-11T13:00:00,89.87,67,moderate rain
miami,2025-07-12T13:00:00,92.48,63,moderate rain
miami,2025-07-13T13:00:00,87.6,58,heavy intensity rain
miami,2025-07-14T13:00:00,86.52,55,heavy intensity rain
miami,2025-07-15T13:00:00,82.63,70,moderate rain
miami,2025-07-16T13:00:00,84.18,70,moderate rain
miami,2025-07-17T13:00:00,87.06,64,light rain
new york,2025-07-11T13:00:00,85.21,69,light rain
new york,2025-07-12T13:00:00,84.09,54,scattered clouds
new york,2025-07-13T13:00:00,81.81,62,scattered clouds
new york,2025-07-14T13:00:00,79.29,74,moderate rain
new york,2025-07-15T13:00:00,89.65,50,light rain
new york,2025-07-16T13:00:00,89.76,53,moderate rain
new york,2025-07-17T13:00:00,88.09,54,light rain
new york,2025-07-11T13:00:00,85.21,69,light rain
new york,2025-07-12T13:00:00,84.09,54,scattered clouds
new york,2025-07-13T13:00:00,81.81,62,scattered clouds
new york,2025-07-14T13:00:00,79.29,74,moderate rain
new york,2025-07-15T13:00:00,89.65,50,light rain
new york,2025-07-16T13:00:00,89.76,53,moderate rain
new york,2025-07-17T13:00:00,88.09,54,light rain
chicago,2025-07-11T13:00:00,82.36,74,very heavy rain
chicago,2025-07-12T13:00:00,80.85,67,moderate rain
chicago,2025-07-13T13:00:00,77.76,52,overcast clouds
chicago,2025-07-14T13:00:00,83.52,46,overcast clouds
chicago,2025-07-15T13:00:00,70.72,78,light rain
chicago,2025-07-16T13:00:00,84.11,60,heavy intensity rain
chicago,2025-07-17T13:00:00,82.45,66,moderate rain
miami,2025-07-11T13:00:00,89.87,67,moderate rain
miami,2025-07-12T13:00:00,92.48,63,moderate rain
miami,2025-07-13T13:00:00,87.6,58,heavy intensity rain
miami,2025-07-14T13:00:00,86.52,55,heavy intensity rain
miami,2025-07-15T13:00:00,82.63,70,moderate rain
miami,2025-07-16T13:00:00,84.18,70,moderate rain
miami,2025-07-17T13:00:00,87.06,64,light rain
los angeles,2025-07-11T15:00:00,83.16,58,clear sky
los angeles,2025-07-12T15:00:00,80.71,40,clear sky
los angeles,2025-07-13T15:00:00,80.29,40,clear sky
los angeles,2025-07-14T15:00:00,81.16,39,clear sky
los angeles,2025-07-15T15:00:00,77.43,44,clear sky
los angeles,2025-07-16T15:00:00,75.27,48,clear sky
los angeles,2025-07-17T15:00:00,75.65,47,clear sky
paris,2025-07-12T07:00:00,79.74,41,clear sky
paris,2025-07-13T07:00:00,84.81,30,light rain
paris,2025-07-14T07:00:00,77.83,41,light rain
paris,2025-07-15T07:00:00,78.01,29,light rain
paris,2025-07-16T07:00:00,85.05,28,few clouds
paris,2025-07-17T07:00:00,88.05,25,few clouds
paris,2025-07-18T07:00:00,78.94,43,broken clouds
new york,2025-07-12T13:00:00,84.69,67,overcast clouds
new york,2025-07-13T13:00:00,82.85,62,scattered clouds
new york,2025-07-14T13:00:00,85.41,60,moderate rain
new york,2025-07-15T13:00:00,90.48,48,light rain
new york,2025-07-16T13:00:00,90.21,53,light rain
new york,2025-07-17T13:00:00,89.04,57,moderate rain
