city,date,temp,humidity,description
Miami,2025-07-16T13:00:00,88.5,70,light rain
Miami,2025-07-17T13:00:00,86.68,68,light rain
Miami,2025-07-18T13:00:00,86.29,67,light rain
Miami,2025-07-19T13:00:00,86.43,67,light rain
Miami,2025-07-20T13:00:00,87.19,62,scattered clouds
Miami,2025-07-21T13:00:00,86.83,60,light rain
Miami,2025-07-22T13:00:00,85.3,62,light rain
paris,2025-07-17T07:00:00,81.73,48,broken clouds
paris,2025-07-18T07:00:00,87.08,30,scattered clouds
paris,2025-07-19T07:00:00,77.85,55,light rain
paris,2025-07-20T07:00:00,74.79,48,moderate rain
paris,2025-07-21T07:00:00,66.96,71,light rain
paris,2025-07-22T07:00:00,75.42,48,light rain
paris,2025-07-23T07:00:00,70.74,51,broken clouds
perth amboy,2025-07-16T13:00:00,89.13,67,moderate rain
perth amboy,2025-07-17T13:00:00,89.6,53,light rain
perth amboy,2025-07-18T13:00:00,82.76,39,scattered clouds
perth amboy,2025-07-19T13:00:00,83.93,37,overcast clouds
perth amboy,2025-07-20T13:00:00,74.37,92,moderate rain
perth amboy,2025-07-21T13:00:00,79.88,53,few clouds
perth amboy,2025-07-22T13:00:00,80.44,48,clear sky
